                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1892,                 2.4698,                 1.3772,                0.99072,                      1,                  0.995,                  0.796,                0.90607,                 0.7067,                0.97605,             0.00025416,             0.00025416,             0.00025416
                      2,                  1.016,                 1.2541,                  1.241,                0.98989,                      1,                  0.995,                0.80034,                 0.8165,                0.88553,                  1.005,             0.00050797,             0.00050797,             0.00050797
                      3,                0.97644,                  1.062,                 1.2123,                0.98916,                      1,                  0.995,                0.87091,                0.70794,                0.53394,                 1.0551,             0.00075924,             0.00075924,             0.00075924
                      4,                0.94927,                0.92515,                 1.1928,                0.98972,                      1,                  0.995,                  0.872,                0.66954,                0.51648,                0.96085,             0.00075758,             0.00075758,             0.00075758
                      5,                0.92317,                0.80832,                 1.1667,                0.98557,                      1,                  0.995,                0.78023,                0.75503,                0.49934,                 1.0196,             0.00075758,             0.00075758,             0.00075758
                      6,                0.90916,                0.72328,                 1.1601,                0.98593,                      1,                  0.995,                0.80733,                 0.7708,                0.53153,                0.99294,             0.00075377,             0.00075377,             0.00075377
                      7,                0.90579,                0.67396,                 1.1466,                 0.9887,                      1,                  0.995,                 0.8355,                0.70468,                0.39235,                0.96641,             0.00074997,             0.00074997,             0.00074997
                      8,                0.87667,                0.61894,                 1.1416,                0.98952,                      1,                  0.995,                 0.8557,                0.64601,                0.40926,                0.95836,             0.00074616,             0.00074616,             0.00074616
                      9,                0.86372,                0.59498,                 1.1335,                0.98861,                      1,                  0.995,                0.87538,                0.73923,                0.44954,                0.97838,             0.00074235,             0.00074235,             0.00074235
                     10,                0.85925,                  0.568,                 1.1351,                0.98896,                      1,                  0.995,                0.82925,                0.70849,                0.38879,                0.94022,             0.00073855,             0.00073855,             0.00073855
                     11,                0.86749,                0.55556,                 1.1258,                0.98879,                      1,                  0.995,                0.83497,                0.66158,                0.34773,                0.88216,             0.00073474,             0.00073474,             0.00073474
                     12,                0.84316,                0.52389,                 1.1177,                      1,                      1,                  0.995,                0.91425,                0.64593,                0.38125,                0.93751,             0.00073093,             0.00073093,             0.00073093
                     13,                0.84353,                0.52288,                 1.1158,                0.98929,                      1,                  0.995,                  0.796,                 0.8105,                0.43468,                 1.0492,             0.00072713,             0.00072713,             0.00072713
                     14,                0.83414,                0.50803,                 1.1156,                      1,                      1,                  0.995,                0.85525,                0.66171,                0.36745,                0.91431,             0.00072332,             0.00072332,             0.00072332
                     15,                0.81849,                0.49095,                 1.1086,                0.98869,                      1,                  0.995,                0.86669,                0.69822,                0.37609,                0.93027,             0.00071951,             0.00071951,             0.00071951
                     16,                0.82143,                0.48986,                 1.1117,                0.98841,                      1,                  0.995,                  0.796,                0.83754,                 0.4432,                 1.0955,             0.00071571,             0.00071571,             0.00071571
                     17,                0.82237,                0.47812,                 1.1026,                      1,                      1,                  0.995,                0.84992,                0.72098,                 0.3729,                  1.003,              0.0007119,              0.0007119,              0.0007119
                     18,                0.80492,                0.47751,                 1.0885,                0.98865,                      1,                  0.995,                 0.8955,                0.56437,                 0.2787,                0.84937,              0.0007081,              0.0007081,              0.0007081
                     19,                0.80164,                0.46136,                 1.0843,                0.98942,                      1,                  0.995,                0.90013,                0.65833,                0.36939,                0.89419,             0.00070429,             0.00070429,             0.00070429
                     20,                0.79138,                0.45049,                 1.0864,                      1,                      1,                  0.995,                0.86163,                0.67712,                 0.3279,                 0.8914,             0.00070048,             0.00070048,             0.00070048
                     21,                0.79271,                0.45447,                 1.0975,                0.98861,                      1,                  0.995,                  0.796,                0.85504,                0.36075,                0.93028,             0.00069668,             0.00069668,             0.00069668
                     22,                0.80187,                0.44224,                 1.0831,                      1,                      1,                  0.995,                0.86775,                0.60337,                0.29182,                0.87195,             0.00069287,             0.00069287,             0.00069287
