                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79879,                0.39816,                 1.0315,                      1,                      1,                  0.995,                0.89792,                0.56483,                0.21208,                0.86366,             0.00068868,             0.00068868,             0.00068868
                     37,                0.78687,                0.39515,                 1.0206,                0.98836,                      1,                  0.995,                 0.8783,                0.65923,                0.23567,                 0.8938,             0.00068456,             0.00068456,             0.00068456
                     38,                0.78877,                0.39281,                 1.0206,                0.98836,                      1,                  0.995,                  0.877,                0.64695,                0.24284,                0.85853,             0.00068044,             0.00068044,             0.00068044
                     39,                0.77518,                0.38938,                 1.0142,                0.98847,                      1,                  0.995,                 0.8645,                0.60995,                0.23965,                0.87725,             0.00067631,             0.00067631,             0.00067631
                     40,                0.77736,                0.39045,                 1.0177,                      1,                      1,                  0.995,                  0.874,                0.67994,                0.22104,                0.88175,             0.00067219,             0.00067219,             0.00067219
                     41,                0.76944,                0.38716,                 1.0077,                      1,                      1,                  0.995,                0.91317,                0.61578,                0.23632,                0.86671,             0.00066807,             0.00066807,             0.00066807
                     42,                0.78292,                0.38729,                   1.02,                0.98863,                      1,                  0.995,                0.83095,                0.70537,                0.25283,                0.90413,             0.00066394,             0.00066394,             0.00066394
                     43,                0.76735,                0.38024,                 1.0091,                      1,                      1,                  0.995,                0.89792,                0.68701,                0.26528,                0.89687,             0.00065982,             0.00065982,             0.00065982
                     44,                0.77392,                0.38591,                 1.0258,                0.98851,                      1,                  0.995,                0.87075,                0.66443,                0.23177,                0.87753,              0.0006557,              0.0006557,              0.0006557
                     45,                0.78611,                0.38252,                 1.0196,                0.98829,                      1,                  0.995,                 0.8658,                0.62511,                0.21523,                0.86488,             0.00065157,             0.00065157,             0.00065157
                     46,                0.76673,                0.37901,                 1.0087,                0.98858,                      1,                  0.995,                0.86913,                 0.6094,                0.24251,                 0.8645,             0.00064745,             0.00064745,             0.00064745
                     47,                0.77114,                0.37777,                 1.0081,                      1,                      1,                  0.995,                0.88025,                0.67336,                0.21948,                0.88536,             0.00064333,             0.00064333,             0.00064333
                     48,                0.75678,                0.37244,                 1.0121,                0.98803,                      1,                  0.995,                 0.8224,                0.66627,                0.25654,                0.88653,              0.0006392,              0.0006392,              0.0006392
                     49,                0.76903,                0.36379,                 1.0046,                0.98839,                      1,                  0.995,                 0.8955,                0.61777,                0.24029,                0.86688,             0.00063508,             0.00063508,             0.00063508
                     50,                0.76508,                0.36636,                 1.0107,                      1,                      1,                  0.995,                 0.8955,                0.60861,                0.22587,                0.86988,             0.00063096,             0.00063096,             0.00063096
                     51,                0.75393,                0.37494,                 1.0111,                0.98876,                      1,                  0.995,                 0.8955,                0.64984,                0.25328,                0.86129,             0.00062683,             0.00062683,             0.00062683
