                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77369,                0.38489,                 1.0587,                 0.9882,                      1,                  0.995,                0.85967,                0.68639,                0.31544,                0.93408,             0.00068868,             0.00068868,             0.00068868
                     37,                0.77107,                0.38179,                 1.0598,                0.98799,                      1,                  0.995,                0.84445,                0.76016,                0.27538,                0.90055,             0.00068456,             0.00068456,             0.00068456
                     38,                 0.7695,                 0.3771,                 1.0408,                0.98743,                      1,                  0.995,                0.87075,                0.62488,                 0.3331,                0.84659,             0.00068044,             0.00068044,             0.00068044
                     39,                0.74687,                0.37201,                 1.0447,                0.98847,                      1,                  0.995,                 0.8611,                0.65507,                0.33235,                0.86446,             0.00067631,             0.00067631,             0.00067631
                     40,                0.76725,                0.37641,                 1.0648,                      1,                      1,                  0.995,                0.85825,                0.66834,                0.27319,                 1.0811,             0.00067219,             0.00067219,             0.00067219
                     41,                 0.7549,                0.36344,                  1.035,                      1,                      1,                  0.995,                0.88025,                0.66118,                0.26312,                0.86015,             0.00066807,             0.00066807,             0.00066807
                     42,                0.76475,                0.37515,                 1.0409,                      1,                      1,                  0.995,                  0.874,                0.61277,                0.23904,                0.86773,             0.00066394,             0.00066394,             0.00066394
                     43,                 0.7472,                0.36715,                 1.0282,                0.98813,                      1,                  0.995,                 0.8658,                0.58203,                0.23806,                0.84288,             0.00065982,             0.00065982,             0.00065982
                     44,                0.76479,                0.36272,                 1.0445,                0.98799,                      1,                  0.995,                  0.869,                 0.6699,                0.27134,                0.87994,              0.0006557,              0.0006557,              0.0006557
                     45,                0.75721,                0.36139,                  1.049,                      1,                      1,                  0.995,                 0.8955,                0.57706,                0.26993,                 0.8444,             0.00065157,             0.00065157,             0.00065157
                     46,                0.75832,                0.36078,                 1.0446,                0.98873,                      1,                  0.995,                0.84571,                0.64669,                0.25236,                0.87652,             0.00064745,             0.00064745,             0.00064745
                     47,                0.74246,                0.35709,                  1.025,                      1,                      1,                  0.995,                0.86163,                0.61896,                0.22956,                0.85636,             0.00064333,             0.00064333,             0.00064333
                     48,                0.74953,                0.36263,                 1.0216,                      1,                      1,                  0.995,                0.87929,                0.59966,                0.24268,                0.85321,              0.0006392,              0.0006392,              0.0006392
                     49,                0.74762,                0.36396,                 1.0406,                      1,                      1,                  0.995,                 0.8955,                0.61143,                0.31179,                0.92038,             0.00063508,             0.00063508,             0.00063508
                     50,                0.74299,                0.35593,                 1.0391,                      1,                      1,                  0.995,                0.86775,                0.68122,                0.30282,                0.87402,             0.00063096,             0.00063096,             0.00063096
                     51,                0.75277,                0.35562,                 1.0414,                      1,                      1,                  0.995,                0.84992,                 0.6086,                 0.3036,                0.88709,             0.00062683,             0.00062683,             0.00062683
                     52,                0.73807,                0.35218,                 1.0378,                      1,                      1,                  0.995,                 0.8955,                 0.6884,                0.29357,                 1.0278,             0.00062271,             0.00062271,             0.00062271
                     53,                0.74022,                0.35389,                 1.0388,                      1,                      1,                  0.995,                  0.902,                0.58003,                 0.3313,                 1.0388,             0.00061859,             0.00061859,             0.00061859
                     54,                0.74245,                0.35361,                 1.0466,                      1,                      1,                  0.995,                0.88338,                0.61471,                0.22745,                0.96395,             0.00061446,             0.00061446,             0.00061446
                     55,                0.73986,                 0.3503,                 1.0383,                0.98842,                      1,                  0.995,                0.90922,                0.54435,                0.23677,                0.83795,             0.00061034,             0.00061034,             0.00061034
                     56,                0.72697,                0.35331,                 1.0354,                0.98843,                      1,                  0.995,                0.87538,                0.67287,                 0.3063,                0.90756,             0.00060622,             0.00060622,             0.00060622
                     57,                0.73386,                0.34669,                 1.0236,                      1,                      1,                  0.995,                0.88025,                 0.7006,                0.26239,                0.88086,             0.00060209,             0.00060209,             0.00060209
                     58,                0.74104,                0.35636,                 1.0307,                      1,                      1,                  0.995,                 0.8955,                0.59845,                0.24555,                0.85207,             0.00059797,             0.00059797,             0.00059797
                     59,                0.73179,                0.34228,                 1.0184,                      1,                      1,                  0.995,                 0.8955,                0.60762,                0.21958,                0.84694,             0.00059385,             0.00059385,             0.00059385
                     60,                0.73162,                0.34404,                 1.0263,                      1,                      1,                  0.995,                0.86163,                0.66781,                0.22647,                0.85221,             0.00058972,             0.00058972,             0.00058972
                     61,                0.74821,                 0.3488,                 1.0261,                0.98858,                      1,                  0.995,                0.85967,                0.58005,                 0.2151,                0.84053,              0.0005856,              0.0005856,              0.0005856
                     62,                0.73211,                0.33804,                 1.0194,                0.98825,                      1,                  0.995,                 0.8955,                0.52852,                0.19833,                0.85147,             0.00058148,             0.00058148,             0.00058148
                     63,                0.73241,                 0.3423,                 1.0252,                      1,                      1,                  0.995,                0.88962,                0.58521,                0.22002,                0.87237,             0.00057735,             0.00057735,             0.00057735
                     64,                0.71991,                0.33916,                 1.0141,                0.98872,                      1,                  0.995,                 0.8955,                0.60926,                0.22758,                0.87433,             0.00057323,             0.00057323,             0.00057323
                     65,                 0.7221,                0.33976,                 1.0211,                      1,                      1,                  0.995,                  0.874,                0.60502,                0.22758,                0.87003,             0.00056911,             0.00056911,             0.00056911
                     66,                0.72546,                0.33571,                 1.0186,                0.98901,                      1,                  0.995,                 0.8783,                0.65551,                0.22465,                0.86002,             0.00056498,             0.00056498,             0.00056498
                     67,                0.71734,                 0.3368,                 1.0191,                0.98826,                      1,                  0.995,                0.86357,                0.59775,                0.34081,                0.83821,             0.00056086,             0.00056086,             0.00056086
                     68,                  0.723,                0.33217,                 1.0248,                0.98842,                      1,                  0.995,                0.87075,                0.62342,                0.23046,                0.84327,             0.00055674,             0.00055674,             0.00055674
                     69,                0.71177,                0.33285,                 1.0179,                0.98844,                      1,                  0.995,                 0.8955,                0.56265,                0.20681,                0.83387,             0.00055261,             0.00055261,             0.00055261
                     70,                0.71421,                0.33156,                 1.0192,                  0.989,                      1,                  0.995,                0.85837,                0.52391,                0.21913,                 0.8162,             0.00054849,             0.00054849,             0.00054849
                     71,                0.71544,                0.33041,                 1.0127,                0.98891,                      1,                  0.995,                0.87717,                0.56962,                0.24709,                0.83799,             0.00054437,             0.00054437,             0.00054437
                     72,                0.70201,                0.33164,                0.99971,                      1,                      1,                  0.995,                0.86775,                0.62145,                0.24859,                0.85723,             0.00054024,             0.00054024,             0.00054024
                     73,                0.70507,                0.33756,                 1.0093,                      1,                      1,                  0.995,                 0.8955,                0.53541,                0.19609,                0.83331,             0.00053612,             0.00053612,             0.00053612
                     74,                0.71675,                0.33554,                 1.0142,                      1,                      1,                  0.995,                 0.8955,                0.59431,                0.21742,                0.83157,               0.000532,               0.000532,               0.000532
                     75,                0.70242,                0.32574,                  1.009,                      1,                      1,                  0.995,                0.91725,                0.52553,                0.18518,                0.82839,             0.00052787,             0.00052787,             0.00052787
                     76,                0.71055,                 0.3264,                 1.0152,                      1,                      1,                  0.995,                0.86163,                  0.625,                0.20285,                0.85338,             0.00052375,             0.00052375,             0.00052375
                     77,                0.70576,                0.32265,                 1.0176,                      1,                      1,                  0.995,                 0.8955,                0.60798,                0.25517,                0.84454,             0.00051963,             0.00051963,             0.00051963
                     78,                0.70458,                0.32169,                 1.0235,                      1,                      1,                  0.995,                0.86775,                0.60613,                0.26542,                0.90149,              0.0005155,              0.0005155,              0.0005155
                     79,                0.70745,                0.32543,                  1.022,                0.98821,                      1,                  0.995,                 0.8955,                0.64721,                0.29397,                0.95376,             0.00051138,             0.00051138,             0.00051138
                     80,                0.69728,                0.32387,                 1.0203,                      1,                      1,                  0.995,                0.91725,                 0.5825,                0.25472,                 1.0205,             0.00050726,             0.00050726,             0.00050726
                     81,                0.71106,                0.32667,                  1.025,                      1,                      1,                  0.995,                0.86163,                0.64846,                0.23227,                0.86334,             0.00050313,             0.00050313,             0.00050313
                     82,                0.69588,                 0.3243,                 1.0124,                0.98865,                      1,                  0.995,                 0.8783,                0.56798,                0.22116,                 1.0315,             0.00049901,             0.00049901,             0.00049901
                     83,                0.69575,                0.32685,                 1.0283,                      1,                      1,                  0.995,                0.88025,                0.61009,                0.31492,                 1.0691,             0.00049489,             0.00049489,             0.00049489
                     84,                0.68493,                0.32016,                 1.0078,                      1,                      1,                  0.995,                0.88025,                0.67134,                0.29505,                 1.0936,             0.00049076,             0.00049076,             0.00049076
                     85,                0.69355,                0.32382,                  1.012,                      1,                      1,                  0.995,                 0.8955,                 0.5909,                0.19051,                0.86069,             0.00048664,             0.00048664,             0.00048664
                     86,                0.69721,                0.32412,                 1.0202,                0.98819,                      1,                  0.995,                 0.8955,                0.58346,                 0.2652,                 1.0379,             0.00048252,             0.00048252,             0.00048252
                     87,                0.69255,                0.32041,                 1.0196,                      1,                      1,                  0.995,                0.88025,                0.65908,                0.24774,                 1.0934,             0.00047839,             0.00047839,             0.00047839
                     88,                0.68237,                0.31682,                 1.0082,                      1,                      1,                  0.995,                  0.874,                0.64303,                0.32021,                 1.0393,             0.00047427,             0.00047427,             0.00047427
                     89,                0.69081,                0.31456,                 1.0159,                      1,                      1,                  0.995,                 0.8955,                0.54892,                0.20732,                 0.8266,             0.00047015,             0.00047015,             0.00047015
                     90,                0.68499,                0.31091,                 1.0091,                0.98875,                      1,                  0.995,                 0.8955,                0.59626,                0.22276,                0.83735,             0.00046602,             0.00046602,             0.00046602
                     91,                0.68092,                0.30805,                0.99998,                      1,                      1,                  0.995,                0.91725,                0.61911,                0.23683,                0.85761,              0.0004619,              0.0004619,              0.0004619
                     92,                 0.6779,                0.30783,                 1.0042,                      1,                      1,                  0.995,                 0.8955,                0.57567,                0.21509,                0.82574,             0.00045778,             0.00045778,             0.00045778
                     93,                0.66952,                0.30151,                0.99531,                      1,                      1,                  0.995,                 0.8955,                0.62209,                0.22347,                0.94432,             0.00045365,             0.00045365,             0.00045365
                     94,                0.67836,                0.31287,                 1.0009,                      1,                      1,                  0.995,                0.84575,                0.63071,                0.20268,                0.85376,             0.00044953,             0.00044953,             0.00044953
                     95,                0.68396,                0.31162,                0.99756,                      1,                      1,                  0.995,                 0.8955,                0.55304,                0.20726,                0.82372,             0.00044541,             0.00044541,             0.00044541
                     96,                0.67745,                0.30921,                0.99717,                      1,                      1,                  0.995,                 0.8955,                0.60915,                 0.2261,                0.84037,             0.00044128,             0.00044128,             0.00044128
                     97,                0.67618,                0.30889,                 1.0013,                      1,                      1,                  0.995,                0.86163,                0.60846,                0.20938,                0.85005,             0.00043716,             0.00043716,             0.00043716
                     98,                0.67256,                0.30878,                0.99384,                      1,                      1,                  0.995,                0.86163,                0.56945,                0.20344,                0.82478,             0.00043304,             0.00043304,             0.00043304
                     99,                0.67316,                0.31134,                 1.0032,                      1,                      1,                  0.995,                0.86163,                0.59879,                0.29034,                0.88694,             0.00042891,             0.00042891,             0.00042891
                    100,                0.67244,                0.30868,                0.99685,                      1,                      1,                  0.995,                 0.8955,                0.54893,                0.21064,                0.82727,             0.00042479,             0.00042479,             0.00042479
                    101,                0.67192,                0.30571,                0.99197,                      1,                      1,                  0.995,                 0.8955,                0.60519,                0.22155,                 0.8333,             0.00042066,             0.00042066,             0.00042066
